"nom_estacio";"nom_contaminant";"valor";"month";"data";"longitud";"latitud"
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-04";2024-04-30;2,24823024;41,45130205
"Barcelona (el Poblenou)";"PM10";22,7;"2024-01";2024-01-04;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";19,4;"2024-01";2024-01-09;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";31,3;"2024-01";2024-01-15;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";29,2;"2024-01";2024-01-24;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";32,6;"2024-01";2024-01-27;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";25,2;"2024-01";2024-01-01;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";27,6;"2024-01";2024-01-03;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";26;"2024-01";2024-01-05;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";8;"2024-01";2024-01-07;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";17,9;"2024-01";2024-01-13;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";18,8;"2024-01";2024-01-17;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";11,6;"2024-01";2024-01-19;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";21,5;"2024-01";2024-01-21;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";24,5;"2024-01";2024-01-23;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";36,5;"2024-01";2024-01-25;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";8;"2024-01";2024-01-06;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";13,7;"2024-01";2024-01-08;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";15,2;"2024-01";2024-01-11;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";16,1;"2024-01";2024-01-18;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";18,8;"2024-01";2024-01-20;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";18,1;"2024-01";2024-01-22;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";18,3;"2024-01";2024-01-29;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";28;"2024-01";2024-01-02;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";25;"2024-01";2024-01-10;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";15,3;"2024-01";2024-01-12;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";31,3;"2024-01";2024-01-26;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";13,3;"2024-01";2024-01-14;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";23,1;"2024-01";2024-01-16;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";27,4;"2024-01";2024-01-28;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";22,9;"2024-01";2024-01-30;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";26,3;"2024-01";2024-01-31;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";11,1;"2024-03";2024-03-04;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";13,4;"2024-03";2024-03-09;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";20;"2024-03";2024-03-15;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";14,3;"2024-03";2024-03-24;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";13;"2024-03";2024-03-27;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";12,7;"2024-03";2024-03-01;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";8;"2024-03";2024-03-03;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";17,9;"2024-03";2024-03-05;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";17,2;"2024-03";2024-03-07;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";21,9;"2024-03";2024-03-13;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";23,6;"2024-03";2024-03-17;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";22,3;"2024-03";2024-03-19;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";15,6;"2024-03";2024-03-21;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";22,8;"2024-03";2024-03-23;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";13,8;"2024-03";2024-03-25;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";16,2;"2024-03";2024-03-06;2,20473014;41,40370072
