"timestamp";"station_id";"station_name";"station_province";"altitude";"mean_temperature";"min_temperature";"max_temperature";"mean_relative_humidity";"min_relative_humidity";"max_relative_humidity";"precipitation";"mean_wind_direction";"mean_wind_speed";"global_solar_radiation";"geometry";"CodiEscola"
2024-01-17;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;14,3;11.7;19;68;53;94;0,3;NA;NA;5.6;c(2.12379, 41.41864);"4"
2024-01-17;"WU";"Badalona - Museu";"Barcelona";42;16,3;13.5;19.7;65;48;82;0,1;NA;NA;6.2;c(2.24757, 41.45215);"2"
2024-01-17;"X1";"Falset";"Tarragona";359;12,9;9.3;19.2;79;49;100;4,1;NA;NA;5.3;c(0.81953, 41.15374);"3"
2024-01-17;"YJ";"Lleida - la Femosa";"Lleida";170;10,4;7.3;15.4;91;70;99;4,9;NA;NA;4;c(0.64172, 41.58462);"1"
2024-01-17;"YP";"Palafrugell";"Girona";36;15,6;10.1;18.3;70;43;100;0;NA;NA;8;c(3.16034, 41.90708);"5"
2024-01-18;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;14,9;12;19;51;39;62;0;NA;NA;8.2;c(2.12379, 41.41864);"4"
2024-01-18;"WU";"Badalona - Museu";"Barcelona";42;17,7;14.4;20.6;46;37;63;0;NA;NA;10.1;c(2.24757, 41.45215);"2"
2024-01-18;"X1";"Falset";"Tarragona";359;14,4;9.5;19.7;56;42;76;0;NA;NA;9.3;c(0.81953, 41.15374);"3"
2024-01-18;"YJ";"Lleida - la Femosa";"Lleida";170;12,4;5.7;19.1;69;48;91;0;NA;NA;8.4;c(0.64172, 41.58462);"1"
2024-01-18;"YP";"Palafrugell";"Girona";36;16,4;6.6;21.7;48;29;87;0;NA;NA;10.1;c(3.16034, 41.90708);"5"
2024-01-19;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;7,8;3.9;13.1;92;54;100;11,8;NA;NA;1.2;c(2.12379, 41.41864);"4"
2024-01-19;"WU";"Badalona - Museu";"Barcelona";42;10,7;7.4;16;78;47;92;4,3;NA;NA;1.7;c(2.24757, 41.45215);"2"
2024-01-19;"X1";"Falset";"Tarragona";359;5,5;2.1;10.1;95;74;100;23,9;NA;NA;1.2;c(0.81953, 41.15374);"3"
2024-01-19;"YJ";"Lleida - la Femosa";"Lleida";170;6,4;3.1;9.7;92;73;99;20;NA;NA;1;c(0.64172, 41.58462);"1"
2024-01-19;"YP";"Palafrugell";"Girona";36;7;4.5;10.3;71;37;93;1,7;NA;NA;1.7;c(3.16034, 41.90708);"5"
2024-01-20;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;6,5;3.1;10.1;73;54;100;0;NA;NA;10.3;c(2.12379, 41.41864);"4"
2024-01-20;"WU";"Badalona - Museu";"Barcelona";42;9;5.3;12.6;62;42;79;0;NA;NA;9.6;c(2.24757, 41.45215);"2"
2024-01-20;"X1";"Falset";"Tarragona";359;3,6;0.1;9.6;82;41;100;0,5;NA;NA;9.3;c(0.81953, 41.15374);"3"
2024-01-20;"YJ";"Lleida - la Femosa";"Lleida";170;4;1.1;8.5;82;57;97;0;NA;NA;10.5;c(0.64172, 41.58462);"1"
2024-01-20;"YP";"Palafrugell";"Girona";36;6,5;0.6;11.2;56;23;100;0;NA;NA;10.1;c(3.16034, 41.90708);"5"
2024-01-21;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;8;6.1;12.6;73;54;88;0;NA;NA;9.7;c(2.12379, 41.41864);"4"
2024-01-21;"WU";"Badalona - Museu";"Barcelona";42;9,7;6.4;13.7;66;50;79;0;NA;NA;9.9;c(2.24757, 41.45215);"2"
2024-01-21;"X1";"Falset";"Tarragona";359;4,8;0.3;10.6;86;52;100;0;NA;NA;10.5;c(0.81953, 41.15374);"3"
2024-01-21;"YJ";"Lleida - la Femosa";"Lleida";170;1,3;-1.3;5.8;96;83;99;0,1;NA;NA;4.5;c(0.64172, 41.58462);"1"
2024-01-21;"YP";"Palafrugell";"Girona";36;6,4;-0.4;13.3;89;62;100;0;NA;NA;9.7;c(3.16034, 41.90708);"5"
2024-01-22;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;8,9;4.4;15;65;48;77;0;NA;NA;10.1;c(2.12379, 41.41864);"4"
2024-01-22;"WU";"Badalona - Museu";"Barcelona";42;11,1;6.8;15.9;59;45;73;0;NA;NA;10.1;c(2.24757, 41.45215);"2"
2024-01-22;"X1";"Falset";"Tarragona";359;7,6;1.8;13.6;77;53;96;0;NA;NA;9.5;c(0.81953, 41.15374);"3"
2024-01-22;"YJ";"Lleida - la Femosa";"Lleida";170;1,3;-1.4;4;99;97;99;0,2;NA;NA;3.7;c(0.64172, 41.58462);"1"
